text,intent
bagaimana skor risiko dari pengguna C-0950,ANALISIS_PELANGGAN
bagaimana jumlah tiket dari user C-0047,ANALISIS_PELANGGAN
tuliskan draf pesan promosi untuk subscriber C-0100,DRAF_EMAIL
siapa akun VIP yang berisiko off,VIP_RISK
jabarkan metrik utama kuartal lalu,METRIK_OVERVIEW
pola tidak aktif lagi member,TREN_CHURN
berikan snapshot 60 hari terakhir,METRIK_OVERVIEW
buka NPS untuk nasabah C-0850,ANALISIS_PELANGGAN
bagaimana cara kerja sistem AI unsubscribe,MODEL_INFO
analisis off berdasarkan tahunan,SEGMEN_ANALISIS
apa pola konsumen yang churn di plan premium,FAKTOR_CHURN
apa yang digunakan untuk prediksi cabut,MODEL_INFO
jumlah akun kontrak bulanan yang mau cancel,JUMLAH_RISIKO_TINGGI
inisiatif apa untuk menjaga subscriber VIP,STRATEGI_RETENSI
pergerakan tidak aktif lagi rate semester ini,TREN_CHURN
berapa total pengguna bulan lalu,METRIK_OVERVIEW
kenapa banyak user tahunan yang keluar,FAKTOR_CHURN
persentase tidak aktif lagi tiap kelompok user,SEGMEN_ANALISIS
please ketikkan pesan follow up untuk konsumen C-0175,DRAF_EMAIL
halo copilot,GREETING
coba ketikkan email untuk member C-0850,DRAF_EMAIL
daftarkan user top account yang mau resign,VIP_RISK
kolom apa yang dipakai prediksi untuk prediksi mundur,MODEL_INFO
breakdown kontrak per professional,SEGMEN_ANALISIS
kenapa banyak member monthly yang tidak aktif lagi,FAKTOR_CHURN
hitungan pelanggan kontrak tahunan yang mau off,JUMLAH_RISIKO_TINGGI
kasih tau inisiatif biar tidak aktif lagi turun,STRATEGI_RETENSI
bisa cek pengguna VIP yang mau kabur,VIP_RISK
kelompok klien mana yang paling mundur,SEGMEN_ANALISIS
berikan laporan dashboard minggu ini,METRIK_OVERVIEW
bagaimana pergerakan hengkang minggu ini,TREN_CHURN
model prediksi untuk resign,MODEL_INFO
user dengan total tagihan tinggi yang mau mundur,VIP_RISK
bagaimana perubahan berhenti hari ini,TREN_CHURN
bagaimana kurva tidak perpanjang 60 hari terakhir,TREN_CHURN
lihat usage untuk konsumen C-0003,ANALISIS_PELANGGAN
kenapa member plan basic banyak yang resign,FAKTOR_CHURN
tingkat adopsi fitur berbeda antar premium,SEGMEN_ANALISIS
kenapa konsumen plan professional banyak yang churn,FAKTOR_CHURN
kerjakan email follow up untuk klien C-0004,DRAF_EMAIL
tanda tanda nasabah mau churn,FAKTOR_CHURN
daftarkan klien high value yang mau keluar,VIP_RISK
apa pola konsumen yang mundur di plan professional,FAKTOR_CHURN
grafik mundur untuk kontrak monthly,TREN_CHURN
analisis tidak lanjut berdasarkan paket bulanan,SEGMEN_ANALISIS
halo halo,GREETING
mau nanya,GREETING
kelompok konsumen mana yang paling hengkang,SEGMEN_ANALISIS
bagaimana terakhir login dari akun C-1000,ANALISIS_PELANGGAN
hay,GREETING
model apa yang digunakan untuk prediksi cabut,MODEL_INFO
klien pelanggan utama dengan banyak tiket support rendah siapa,VIP_RISK
customer VIP dengan skor kepuasan rendah siapa,VIP_RISK
bagaimana grafik tidak aktif lagi kuartal ini,TREN_CHURN
gimana kabar,GREETING
kasih tau solusi biar resign turun,STRATEGI_RETENSI
bagaimana revenue mempengaruhi off,FAKTOR_CHURN
eh hai,GREETING
member premium mana yang mau tidak perpanjang,VIP_RISK
dinamika unsubscribe untuk kontrak semi-annual,TREN_CHURN
rangkuman metrik putus kontrak,METRIK_OVERVIEW
bagaimana perkembangan keluar hari ini,TREN_CHURN
bagaimana chart tidak perpanjang bulan lalu,TREN_CHURN
berapa total konsumen churn bulan ini,METRIK_OVERVIEW
teknik network untuk tidak perpanjang,MODEL_INFO
dinamika berhenti berlangganan plan starter gimana,TREN_CHURN
teknik untuk akun yang NPS-nya rendah,STRATEGI_RETENSI
rancang pesan diskon follow up untuk user C-0200,DRAF_EMAIL
kurva cabut untuk kontrak bulanan,TREN_CHURN
angka konsumen yang mau berhenti,JUMLAH_RISIKO_TINGGI
mana yang lebih banyak cancel antara paket tahunan,SEGMEN_ANALISIS
hitungan subscriber kontrak bulanan yang mau mundur,JUMLAH_RISIKO_TINGGI
kolom probabilitas churn mana yang paling penting untuk prediksi mundur,FAKTOR_CHURN
bagaimana net promoter score dari klien C-0600,ANALISIS_PELANGGAN
pengguna high value dengan probabilitas churn rendah siapa,VIP_RISK
halo ada,GREETING
user top account dengan risk score rendah siapa,VIP_RISK
perlihatkan jumlah dunning untuk pengguna C-1000,ANALISIS_PELANGGAN
total subscriber kontrak tahunan yang mau cabut,JUMLAH_RISIKO_TINGGI
list pengguna VIP yang probabilitas off-nya tinggi,VIP_RISK
pemakaian bulanan berbeda antar paket tahunan,SEGMEN_ANALISIS
sinyal awal akun akan off,FAKTOR_CHURN
apa indikator utama resign,FAKTOR_CHURN
pelanggan VIP dengan total tagihan rendah siapa,VIP_RISK
bagaimana total billed mempengaruhi putus kontrak,FAKTOR_CHURN
teknik untuk tidak lanjut,MODEL_INFO
halo mas,GREETING
rancangkan draf pesan follow up untuk user C-1000,DRAF_EMAIL
kenapa banyak member annual yang keluar,FAKTOR_CHURN
hitung pelanggan kontrak tahunan yang mau tidak lanjut,JUMLAH_RISIKO_TINGGI
compose pesan follow up untuk pengguna high value yang mau hengkang,DRAF_EMAIL
elemen apa saja yang menyebabkan tidak perpanjang,FAKTOR_CHURN
solusi mempertahankan akun plan basic,STRATEGI_RETENSI
list pengguna klien kakap yang probabilitas berhenti-nya tinggi,VIP_RISK
sajikan skor kepuasan untuk klien C-0120,ANALISIS_PELANGGAN
tunjukkan banyak tiket support untuk subscriber C-0003,ANALISIS_PELANGGAN
bagaimana NPS keseluruhan kuartal ini,METRIK_OVERVIEW
subscriber pelanggan prioritas mana yang mau berhenti,VIP_RISK
hi cs,GREETING
compare cabut rate plan enterprise plan lain,SEGMEN_ANALISIS
kolom tenure mana yang paling penting untuk prediksi tidak lanjut,FAKTOR_CHURN
apa hubungan dunning count dengan risiko hengkang,FAKTOR_CHURN
kenapa klien plan professional banyak yang keluar,FAKTOR_CHURN
hay,GREETING
kolom tenure mana yang paling penting untuk prediksi tidak aktif lagi,FAKTOR_CHURN
bagaimana grafik cabut bulan lalu,TREN_CHURN
bagaimana skor risiko dari user C-0008,ANALISIS_PELANGGAN
buka skor risiko untuk pelanggan C-0350,ANALISIS_PELANGGAN
teknik untuk akun yang skor risiko-nya rendah,STRATEGI_RETENSI
malam copilot,GREETING
kebijakan untuk nasabah yang jumlah dunning-nya rendah,STRATEGI_RETENSI
kolom apa dipakai teknologi untuk prediksi keluar,MODEL_INFO
analisis berhenti berlangganan berdasarkan tahunan,SEGMEN_ANALISIS
enterprise mana yang paling banyak tidak lanjut,SEGMEN_ANALISIS
bagaimana days since login secara keseluruhan lalu,METRIK_OVERVIEW
user high value dengan skor risiko rendah siapa,VIP_RISK
bagaimana tingkat adopsi fitur secara keseluruhan lalu,METRIK_OVERVIEW
kolom apa yang dipakai untuk prediksi berhenti berlangganan,MODEL_INFO
berapa total user churn 90 hari terakhir,METRIK_OVERVIEW
bagaimana perkembangan cabut kuartal lalu,TREN_CHURN
algoritma prediksi off,MODEL_INFO
permisi bot,GREETING
solusi untuk pelanggan yang days since login-nya rendah,STRATEGI_RETENSI
dinamika resign untuk kontrak monthly,TREN_CHURN
mana yang lebih banyak berhenti antara paket,SEGMEN_ANALISIS
metode mempertahankan customer plan premium,STRATEGI_RETENSI
chart mundur rate bulan ini,TREN_CHURN
minta tulis pesan follow up penawaran untuk pengguna,DRAF_EMAIL
siapa akun yang paling rugi kalau tidak perpanjang,VIP_RISK
rekomendasi untuk user yang jumlah dunning-nya rendah,STRATEGI_RETENSI
composekankan draf draf pesan untuk customer C-0750,DRAF_EMAIL
paparkan tenure untuk pelanggan C-0800,ANALISIS_PELANGGAN
breakdown keluar per,SEGMEN_ANALISIS
seberapa banyak pengguna kontrak annual yang mau resign,JUMLAH_RISIKO_TINGGI
kenapa banyak nasabah kuartalan yang hengkang,FAKTOR_CHURN
ada situ,GREETING
berapa banyak pengguna yang probabilitas off-nya di atas 70 persen,JUMLAH_RISIKO_TINGGI
kondisi nasabah dong,METRIK_OVERVIEW
kerjakankan draf notifikasi untuk subscriber C-0700,DRAF_EMAIL
cara untuk konsumen yang risk score-nya rendah,STRATEGI_RETENSI
rancangkan draf pesan follow up untuk user C-0008,DRAF_EMAIL
siapa customer top account yang berisiko cancel,VIP_RISK
apakah ada kenaikan cabut tahun lalu,TREN_CHURN
apa pola nasabah yang cabut di plan basic,FAKTOR_CHURN
mana yang banyak keluar antara paket tahunan,SEGMEN_ANALISIS
persentase keluar tiap kelompok member,SEGMEN_ANALISIS
bagaimana jumlah dunning mempengaruhi unsubscribe,FAKTOR_CHURN
siapa customer VIP yang berisiko tidak aktif lagi,VIP_RISK
pengguna pelanggan prioritas dengan dunning count rendah siapa,VIP_RISK
pola putus kontrak rate minggu lalu,TREN_CHURN
draftkan surat elektronik follow up untuk pelanggan C-0005,DRAF_EMAIL
kebijakan supaya pelanggan tidak cancel,STRATEGI_RETENSI
breakdown resign paket tahunan,SEGMEN_ANALISIS
monthly vs putus kontrak rate,SEGMEN_ANALISIS
subscriber revenue tertinggi mana yang mau cancel,VIP_RISK
perbandingan mundur antar paket,SEGMEN_ANALISIS
perlihatkan terakhir login untuk member C-0005,ANALISIS_PELANGGAN
permisi bot,GREETING
bantuan,GREETING
berikan jumlah tiket untuk nasabah C-0850,ANALISIS_PELANGGAN
bagaimana model prediksi memprediksi perpanjang,MODEL_INFO
siapa user VIP yang berisiko cabut,VIP_RISK
nilai kontrak secara keseluruhan tahun lalu,METRIK_OVERVIEW
kenapa banyak klien bulanan yang berhenti berlangganan,FAKTOR_CHURN
bisa ketik draf pesan penawaran untuk customer,DRAF_EMAIL
berapa jumlah konsumen kontrak annual yang mau berhenti,JUMLAH_RISIKO_TINGGI
breakdown churn basic,SEGMEN_ANALISIS
summary dashboard tahun ini,METRIK_OVERVIEW
berikan dashboard semester ini,METRIK_OVERVIEW
kondisi user 60 hari gimana,METRIK_OVERVIEW
tindakan untuk konsumen yang ticket count-nya rendah,STRATEGI_RETENSI
kolom apa yang dipakai sistem untuk prediksi mundur,MODEL_INFO
bagaimana memenangkan kembali nasabah yang hampir keluar,STRATEGI_RETENSI
apa pola klien yang keluar di plan premium,FAKTOR_CHURN
pagi copilot,GREETING
berapa akun baru 30 terakhir,METRIK_OVERVIEW
lihat feature adoption untuk pengguna C-0001,ANALISIS_PELANGGAN
bagaimana jumlah tiket mempengaruhi putus kontrak,FAKTOR_CHURN
bagaimana terakhir login secara keseluruhan minggu,METRIK_OVERVIEW
draftkan pesan retensi follow up untuk klien C-0350,DRAF_EMAIL
berapa banyak konsumen kategori kritis,JUMLAH_RISIKO_TINGGI
rencana untuk konsumen yang lama berlangganan-nya rendah,STRATEGI_RETENSI
rencana untuk subscriber yang terakhir login-nya rendah,STRATEGI_RETENSI
jumlah member risiko tinggi,JUMLAH_RISIKO_TINGGI
apakah pemakaian bulanan berkorelasi dengan putus kontrak,FAKTOR_CHURN
bagaimana perkembangan putus kontrak 30 hari terakhir,TREN_CHURN
daftarkan user enterprise yang mau cabut,VIP_RISK
teknik untuk user yang tingkat adopsi fitur-nya rendah,STRATEGI_RETENSI
member baru 30 hari terakhir,METRIK_OVERVIEW
bisa ketikkan surat elektronik untuk pelanggan C-0002,DRAF_EMAIL
jabarkan revenue untuk akun C-0005,ANALISIS_PELANGGAN
performa AI prediksi lanjut,MODEL_INFO
cek profil klien C-0700,ANALISIS_PELANGGAN
apa hubungan pendapatan dengan risiko putus kontrak,FAKTOR_CHURN
dinamika off plan professional gimana,TREN_CHURN
pergerakan tidak aktif lagi plan starter gimana,TREN_CHURN
apakah hengkang naik atau turun 30 hari terakhir,TREN_CHURN
breakdown putus kontrak per professional,SEGMEN_ANALISIS
list konsumen top account yang probabilitas resign-nya tinggi,VIP_RISK
berapa jumlah akun yang mau tidak lanjut,JUMLAH_RISIKO_TINGGI
apa pola user yang tidak aktif lagi di plan enterprise,FAKTOR_CHURN
apakah lama berlangganan berkorelasi dengan cabut,FAKTOR_CHURN
berapa customer kontrak semi-annual yang mau berhenti,JUMLAH_RISIKO_TINGGI
hai semuanya,GREETING
hitung customer kontrak triwulan yang mau tidak lanjut,JUMLAH_RISIKO_TINGGI
konsumen VIP mana yang mau tidak perpanjang,VIP_RISK
kenapa user plan starter banyak yang tidak perpanjang,FAKTOR_CHURN
mau nanya,GREETING
periksa total billed untuk customer C-0500,ANALISIS_PELANGGAN
starter mana yang paling tidak lanjut,SEGMEN_ANALISIS
persentase hengkang tiap pelanggan,SEGMEN_ANALISIS
sini bot,GREETING
kenapa user plan starter banyak yang berhenti berlangganan,FAKTOR_CHURN
dinamika mundur rate 60 hari terakhir,TREN_CHURN
pola tidak aktif lagi akun,TREN_CHURN
bagaimana cara kerja neural network prediksi,MODEL_INFO
perlihatkan skor kepuasan untuk akun C-0850,ANALISIS_PELANGGAN
dong ketikkan notifikasi untuk nasabah C-0004,DRAF_EMAIL
performa model hengkang,MODEL_INFO
ada hitung nasabah yang berisiko tinggi,JUMLAH_RISIKO_TINGGI
perbandingan tidak perpanjang antar premium,SEGMEN_ANALISIS
hitung nasabah kontrak kuartalan yang mau cabut,JUMLAH_RISIKO_TINGGI
program mempertahankan nasabah plan enterprise,STRATEGI_RETENSI
mohon cek pengguna big client yang mau kabur,VIP_RISK
howdy,GREETING
tuliskan notifikasi follow up untuk pengguna C-0450,DRAF_EMAIL
tier apa yang aman dari keluar,SEGMEN_ANALISIS
alasan dominan tidak lanjut apa,FAKTOR_CHURN
hitung subscriber plan basic yang berisiko tinggi,JUMLAH_RISIKO_TINGGI
mana yang lebih banyak unsubscribe antara segmen,SEGMEN_ANALISIS
apa kabar,GREETING
hay,GREETING
ciri ciri subscriber yang akan berhenti berlangganan itu apa,FAKTOR_CHURN
daftarkan customer klien kakap yang mau cancel,VIP_RISK
bagaimana model menghitung probabilitas cancel,MODEL_INFO
kenapa banyak member tahunan yang cancel,FAKTOR_CHURN
program retensi apa yang efektif untuk user tahunan,STRATEGI_RETENSI
berapa member kontrak semi-annual yang mau putus kontrak,JUMLAH_RISIKO_TINGGI
customer premium dengan hari sejak login rendah siapa,VIP_RISK
historis cancel rate minggu ini,TREN_CHURN
lihat NPS untuk subscriber C-0009,ANALISIS_PELANGGAN
kondisi subscriber hari ini gimana,METRIK_OVERVIEW
breakdown tidak perpanjang per segmen,SEGMEN_ANALISIS
bisa buatkan teks penawaran penawaran untuk nasabah,DRAF_EMAIL
ada berapa klien yang probabilitas churn-nya di atas 70 persen,JUMLAH_RISIKO_TINGGI
hai copilot,GREETING
berikan dashboard bulan ini,METRIK_OVERVIEW
dong ketikkan teks penawaran untuk customer C-0004,DRAF_EMAIL
performa model prediksi unsubscribe,MODEL_INFO
siapa pelanggan pelanggan prioritas yang berisiko cabut,VIP_RISK
kenapa akun plan professional banyak yang berhenti,FAKTOR_CHURN
bagaimana memprediksi mundur,MODEL_INFO
susunkankan draf pesan follow up untuk customer C-0350,DRAF_EMAIL
berapa jumlah pengguna kontrak kuartalan yang mau tidak lanjut,JUMLAH_RISIKO_TINGGI
berapa total subscriber kontrak kuartalan yang mau tidak aktif lagi,JUMLAH_RISIKO_TINGGI
coba susunkan pesan diskon penawaran untuk member,DRAF_EMAIL
draftkan pesan promosi khusus untuk akun premium,DRAF_EMAIL
bagaimana risk score secara keseluruhan tahun,METRIK_OVERVIEW
hengkang tiap kelompok pelanggan,SEGMEN_ANALISIS
bagaimana lama berlangganan berbeda antar starter,SEGMEN_ANALISIS
list user premium yang probabilitas tidak aktif lagi-nya tinggi,VIP_RISK
nasabah top account mana yang mau tidak lanjut,VIP_RISK
berapa banyak member yang probabilitas tidak lanjut-nya di atas 70 persen,JUMLAH_RISIKO_TINGGI
berapa banyak pelanggan kontrak bulanan yang mau berhenti,JUMLAH_RISIKO_TINGGI
apa hubungan banyak tiket support dengan risiko hengkang,FAKTOR_CHURN
member big client dengan probabilitas churn rendah siapa,VIP_RISK
list pengguna VIP yang probabilitas keluar-nya tinggi,VIP_RISK
metode untuk user yang feature adoption-nya rendah,STRATEGI_RETENSI
permisi,GREETING
rekomendasi untuk member yang total tagihan-nya rendah,STRATEGI_RETENSI
teknik model prediksi keluar,MODEL_INFO
lihat pola pembatalan 30 hari terakhir,TREN_CHURN
tuliskan pesan retensi follow up untuk nasabah C-0900,DRAF_EMAIL
hello cs,GREETING
bagaimana model memprediksi cancel,MODEL_INFO
statistik resign rate minggu lalu,TREN_CHURN
bagaimana berlangganan secara keseluruhan minggu lalu,METRIK_OVERVIEW
perlihatkan late payment untuk subscriber C-0009,ANALISIS_PELANGGAN
jabarkan ticket count untuk konsumen C-0750,ANALISIS_PELANGGAN
hai bot,GREETING
upaya untuk klien yang banyak tiket support-nya rendah,STRATEGI_RETENSI
berapa banyak pengguna kontrak semi-annual yang mau berhenti,JUMLAH_RISIKO_TINGGI
bagaimana tren resign tahun ini,TREN_CHURN
pelanggan pelanggan prioritas dengan risk score rendah siapa,VIP_RISK
solusi untuk akun yang skor kepuasan-nya rendah,STRATEGI_RETENSI
neural network memprediksi unsubscribe,MODEL_INFO
indikator apa saja yang menyebabkan tidak lanjut,FAKTOR_CHURN
solusi untuk user yang feature adoption-nya rendah,STRATEGI_RETENSI
tampilkan metrik utama bulan ini,METRIK_OVERVIEW
berapa pengguna baru pekan ini,METRIK_OVERVIEW
bagaimana nilai kontrak dari konsumen C-0006,ANALISIS_PELANGGAN
bagaimana cara kerja AI prediksi keluar,MODEL_INFO
met malam,GREETING
evolusi tidak perpanjang rate tahun ini,TREN_CHURN
akun VIP mana yang mau berhenti,VIP_RISK
tips untuk konsumen yang days since login-nya rendah,STRATEGI_RETENSI
pelanggan high value mana yang mau hengkang,VIP_RISK
sinyal awal konsumen akan cabut,FAKTOR_CHURN
bagaimana dunning count secara keseluruhan bulan ini,METRIK_OVERVIEW
hai mau,GREETING
kebijakan mempertahankan member plan enterprise,STRATEGI_RETENSI
kelompok akun mana yang paling off,SEGMEN_ANALISIS
jumlah klien kontrak bulanan yang mau putus kontrak,JUMLAH_RISIKO_TINGGI
customer pelanggan besar dengan pemakaian bulanan rendah siapa,VIP_RISK
teknik neural network churn,MODEL_INFO
mau nanya,GREETING
kenapa nasabah plan starter banyak yang resign,FAKTOR_CHURN
analisis resign berdasarkan kontrak annual,SEGMEN_ANALISIS
apa pola user yang keluar di plan basic,FAKTOR_CHURN
cek banyak tiket support untuk subscriber C-0100,ANALISIS_PELANGGAN
teknik AI untuk hengkang,MODEL_INFO
perkembangan tidak aktif lagi rate tahun ini,TREN_CHURN
help,GREETING
daftarkan konsumen pelanggan prioritas yang mau berhenti,VIP_RISK
akun dengan total tagihan tinggi yang mau berhenti berlangganan,VIP_RISK
metode untuk akun yang banyak tiket support-nya rendah,STRATEGI_RETENSI
hitung subscriber kontrak bulanan yang mau tidak perpanjang,JUMLAH_RISIKO_TINGGI
berikan resume dashboard 30 hari,METRIK_OVERVIEW
tolong buatkan pesan penawaran untuk nasabah,DRAF_EMAIL
siapkankan draf surat elektronik untuk customer C-0004,DRAF_EMAIL
deep learning yang digunakan untuk prediksi berhenti berlangganan,MODEL_INFO
siapa klien pelanggan utama yang berisiko cancel,VIP_RISK
siapa nasabah enterprise yang cancel,VIP_RISK
periksa metrik utama bulan lalu,METRIK_OVERVIEW
kenapa banyak pengguna kuartalan yang hengkang,FAKTOR_CHURN
bagaimana statistik churn hari ini,TREN_CHURN
please ketikkan notifikasi untuk klien C-0030,DRAF_EMAIL
apakah berhenti berlangganan naik atau turun hari ini,TREN_CHURN
hitung konsumen kontrak triwulan yang mau hengkang,JUMLAH_RISIKO_TINGGI
berapa total pelanggan churn hari terakhir,METRIK_OVERVIEW
akun pelanggan prioritas dengan hari sejak login rendah siapa,VIP_RISK
draftkankan draf pesan diskon untuk nasabah C-0002,DRAF_EMAIL
bagaimana tren tidak perpanjang minggu ini,TREN_CHURN
uraikan probabilitas churn untuk subscriber C-0750,ANALISIS_PELANGGAN
hei bot,GREETING
list member top account yang probabilitas hengkang-nya tinggi,VIP_RISK
daftarkan customer pelanggan besar yang mau churn,VIP_RISK
berikan ringkasan dashboard minggu,METRIK_OVERVIEW
basic yang paling banyak cabut,SEGMEN_ANALISIS
bagaimana cara kerja cerdas prediksi hengkang,MODEL_INFO
teknik untuk pengguna yang net promoter score-nya rendah,STRATEGI_RETENSI
berapa konsumen churn pekan ini,METRIK_OVERVIEW
periksa banyak tiket support untuk member C-0800,ANALISIS_PELANGGAN
kurva berhenti rate bulan ini,TREN_CHURN
dinamika putus kontrak untuk kontrak monthly,TREN_CHURN
berapa member yang probabilitas tidak aktif lagi-nya di atas 70 persen,JUMLAH_RISIKO_TINGGI
berapa member baru 30 hari terakhir,METRIK_OVERVIEW
upaya untuk member yang feature adoption-nya rendah,STRATEGI_RETENSI
berapa total churn bulan lalu,METRIK_OVERVIEW
pelanggan pelanggan prioritas dengan hari sejak login rendah siapa,VIP_RISK
bagaimana fluktuasi off hari ini,TREN_CHURN
breakdown berhenti per kontrak monthly,SEGMEN_ANALISIS
analisis off enterprise,SEGMEN_ANALISIS
bagaimana cara kerja AI prediksi,MODEL_INFO
kontrak monthly mana yang paling banyak berhenti,SEGMEN_ANALISIS
hai,GREETING
di situ,GREETING
apa pola pengguna yang unsubscribe di plan premium,FAKTOR_CHURN
siapkan penawaran khusus via pesan follow up untuk akun starter,DRAF_EMAIL
pengguna revenue tertinggi mana yang mau off,VIP_RISK
apakah jumlah dunning berkorelasi dengan tidak perpanjang,FAKTOR_CHURN
berapa total akun kontrak monthly yang mau keluar,JUMLAH_RISIKO_TINGGI
susunkankan draf pesan promosi untuk subscriber C-0047,DRAF_EMAIL
kenapa banyak pengguna tahunan yang berhenti,FAKTOR_CHURN
ada di,GREETING
bagaimana net promoter score keseluruhan tahun ini,METRIK_OVERVIEW
please cek member klien kakap yang mau kabur,VIP_RISK
halo mas,GREETING
total klien kontrak bulanan yang mau keluar,JUMLAH_RISIKO_TINGGI
sistem prediksi memprediksi tidak perpanjang,MODEL_INFO
uraikan dunning count untuk member C-0025,ANALISIS_PELANGGAN
ciri ciri akun yang akan cancel itu apa,FAKTOR_CHURN
bagaimana cara kerja algoritma prediksi,MODEL_INFO
solusi untuk customer yang lama berlangganan-nya rendah,STRATEGI_RETENSI
analisis berhenti berlangganan kategori,SEGMEN_ANALISIS
teknik model untuk tidak aktif lagi,MODEL_INFO
bagaimana terakhir login mempengaruhi cancel,FAKTOR_CHURN
kolom probabilitas churn mana yang paling penting untuk prediksi berhenti,FAKTOR_CHURN
bagaimana historis berhenti semester ini,TREN_CHURN
berikan dashboard 60 hari terakhir,METRIK_OVERVIEW
bagaimana pola off bulan lalu,TREN_CHURN
metrik utama hari ini,METRIK_OVERVIEW
rancang surat follow up untuk subscriber C-0950,DRAF_EMAIL
tier apa yang paling aman resign,SEGMEN_ANALISIS
rencana untuk user yang NPS-nya rendah,STRATEGI_RETENSI
total klien kontrak kuartalan yang mau cabut,JUMLAH_RISIKO_TINGGI
bantu ketikkan pesan untuk klien C-0004,DRAF_EMAIL
tren tidak perpanjang rate minggu lalu,TREN_CHURN
kurva hengkang rate 60 hari terakhir,TREN_CHURN
berikan terakhir login untuk klien C-0009,ANALISIS_PELANGGAN
hitung pelanggan kontrak kuartalan yang mau tidak aktif lagi,JUMLAH_RISIKO_TINGGI
kerjakankan draf pesan retensi untuk member C-0350,DRAF_EMAIL
lihat nilai kontrak untuk customer C-0005,ANALISIS_PELANGGAN
perubahan off untuk kontrak triwulan,TREN_CHURN
sistem AI memprediksi berhenti berlangganan,MODEL_INFO
kasih tau program biar resign turun,STRATEGI_RETENSI
bagaimana memprediksi unsubscribe,MODEL_INFO
bagaimana tenure secara keseluruhan 90 hari terakhir,METRIK_OVERVIEW
apa hubungan days since login dengan risiko tidak lanjut,FAKTOR_CHURN
performa sistem AI resign,MODEL_INFO
subscriber big client mana yang mau unsubscribe,VIP_RISK
kondisi pengguna bulan lalu gimana,METRIK_OVERVIEW
list pengguna high value yang probabilitas churn-nya tinggi,VIP_RISK
list member premium yang probabilitas tidak perpanjang-nya tinggi,VIP_RISK
bagaimana network memprediksi berhenti berlangganan,MODEL_INFO
periksa usage untuk konsumen C-0200,ANALISIS_PELANGGAN
halo datang,GREETING
seberapa banyak customer yang mau tidak lanjut,JUMLAH_RISIKO_TINGGI
bagaimana skor risiko berbeda antar kelompok pelanggan,SEGMEN_ANALISIS
met malam,GREETING
teknologi apa yang dipakai untuk prediksi putus kontrak,MODEL_INFO
unsubscribe paling tinggi di segmen mana,SEGMEN_ANALISIS
berikan probabilitas churn untuk pengguna C-0001,ANALISIS_PELANGGAN
teknik untuk klien yang banyak tiket support-nya rendah,STRATEGI_RETENSI
strategi untuk subscriber yang tingkat adopsi fitur-nya rendah,STRATEGI_RETENSI
buatkankan draf surat untuk akun C-0150,DRAF_EMAIL
solusi untuk akun yang probabilitas churn-nya rendah,STRATEGI_RETENSI
please ketikkan teks penawaran untuk konsumen C-0300,DRAF_EMAIL
